counter,page_link
2,https://www.booking.com/hotel/sa/shlyh-kn-lskny-lfndqy.ar.html
2,https://www.booking.com/hotel/sa/jd-hy-lslmh.ar.html
2,https://www.booking.com/hotel/sa/shq-lwdy-hy-l.ar.html
2,https://www.booking.com/hotel/sa/mr-lzbr.ar.html
2,https://www.booking.com/hotel/sa/mrhb-2.ar.html
2,https://www.booking.com/hotel/sa/shqq-wstdywht-dr-mbrk.ar.html
2,https://www.booking.com/hotel/sa/gdyr-l-ul-l-l.ar.html
2,https://www.booking.com/hotel/sa/jd-jd35.ar.html
2,https://www.booking.com/hotel/sa/great-hosting.ar.html
2,https://www.booking.com/hotel/sa/shq-lwryn.ar.html
2,https://www.booking.com/hotel/sa/shq-lhjr.ar.html
2,https://www.booking.com/hotel/sa/shq-fkhr-bdkhwl-dhty-lmdyn-lmnwr.ar.html
2,https://www.booking.com/hotel/sa/grf-stdyw-hy-lnzh-shr-lstyn.ar.html
2,https://www.booking.com/hotel/sa/al-nargis-neighborhood-isfan-street.ar.html
2,https://www.booking.com/hotel/sa/nzl-sdn.ar.html
2,https://www.booking.com/hotel/sa/whd-skny-grf-wsl-c11.ar.html
2,https://www.booking.com/hotel/sa/shqh-nyqh-bdkhwl-dhky.ar.html
2,https://www.booking.com/hotel/sa/zm-zhrh-lbn.ar.html
2,https://www.booking.com/hotel/sa/stylish-studio-with-smart-access.ar.html
2,https://www.booking.com/hotel/sa/skk-skk3.ar.html
2,https://www.booking.com/hotel/sa/asiri-boutique-304.ar.html
2,https://www.booking.com/hotel/sa/premier-boutique-stay.ar.html
2,https://www.booking.com/hotel/sa/mmyzh-jd-blqys-belkisa-studio.ar.html
2,https://www.booking.com/hotel/sa/jnh-fndqy-fkhr-suite.ar.html
2,https://www.booking.com/hotel/sa/lryd-lryd200.ar.html
2,https://www.booking.com/hotel/sa/asiri-boutique-402-lmdyn-lmnwr.ar.html
2,https://www.booking.com/hotel/sa/apartment-with-a-distinctive-design.ar.html
2,https://www.booking.com/hotel/sa/fyl-hy-l-qyq-lkhbr.ar.html
2,https://www.booking.com/hotel/sa/trky-hws.ar.html
2,https://www.booking.com/hotel/sa/shq-fkhr-fy-hy-htyn-qryb-mn-lbwlyfrd-wlkfyht.ar.html
2,https://www.booking.com/hotel/sa/khmys-mshyt-mkhtt-whd.ar.html
2,https://www.booking.com/hotel/sa/shq-mfrwsh-lmdyn-lmnwr15.ar.html
2,https://www.booking.com/hotel/sa/mrs-ldyf.ar.html
2,https://www.booking.com/hotel/sa/stdyw-nyq-bhy-l-qyq-bblkwnh-khrjyh-wdkhwl-dhky.ar.html
2,https://www.booking.com/hotel/sa/shqh-hy-lwdy-hy-l.ar.html
2,https://www.booking.com/hotel/sa/apartment-room-and-hall-private-entrance-in-al-malqa-neighborhood.ar.html
2,https://www.booking.com/hotel/sa/elegent-apartment-in-almarwa.ar.html
2,https://www.booking.com/hotel/sa/rose-jeddah-jeddah.ar.html
2,https://www.booking.com/hotel/sa/stdyw-lryd151.ar.html
2,https://www.booking.com/hotel/sa/stdyw-fndqy-nyq-shml-lryd-dkhwl-dhty.ar.html
2,https://www.booking.com/hotel/sa/shq-bgrftyn-nwm-wsl-wmtbkh-jd.ar.html
2,https://www.booking.com/hotel/sa/shqh-lryd34.ar.html
2,https://www.booking.com/hotel/sa/asiri-boutique-303.ar.html
2,https://www.booking.com/hotel/sa/shqh-bgrfty-nwm.ar.html
